TS_ring,RH_name,RH_smiles,RH_Eele_TZVP,Rrad_name,Rrad_smiles,Rrad_Eele_TZVP,Rrad_Eele_def2SVP,ROO_name,ROO_smiles,ROO_Eele_TZVP,ROO_Eele_def2SVP,QOOH_name,QOOH_smiles,QOOH_Eele_TZVP,QOOH_Eele_def2SVP,TS_name,TS_smiles,TS_Eele_TZVP,TS_Eele_def2SVP,IRC_npoints,IRC_Efirst,IRC_Elast,IRC_Emin,IRC_Emax,bondsbroken_IRC_F,bondsbroken_IRC_B,IRC_energies
5,bigQM7w_000051_stereo_00001,CCCC,-158.541584515097,bigQM7w_000051_stereo_00001_C_rad_00002,C[CH]CC,-157.875254472420,-157.677105909024,bigQM7w_000051_stereo_00001_C_rad_00002_ROO_00001,CC[C@@H](C)O[O],-308.354833737394,-307.970951098573,bigQM7w_000051_stereo_00001_C_rad_00002_ROO_00001_QOOH_00002,C[CH][C@@H](C)OO,-308.324122049154,-307.932299490639,bigQM7w_000051_stereo_00001_C_rad_00002_ROO_00001_QOOH_00002_Nbridge_01,C[C@@H]1[N]OO[C@@H]1C,-308.291442904064,-307.903890809090,50,-40.228002,-17.896877,-40.228002,0.0,1,1,"-40.228002;-40.151518;-40.070522;-39.984014;-39.891452;-39.792495;-39.686452;-39.575012;-39.452516;-39.328725;-39.272140;-39.079891;-38.369942;-37.368985;-35.926095;-34.010759;-31.296068;-27.284800;-21.580208;-13.647056;-1.293170;0.000000;-1.092091;-4.944726;-7.925510;-10.211297;-11.943219;-13.370437;-14.499770;-15.390590;-16.036091;-16.141187;-16.407153;-16.646903;-16.714674;-16.828509;-16.943022;-17.049347;-17.150717;-17.245145;-17.335512;-17.413627;-17.495772;-17.569955;-17.638926;-17.703873;-17.765721;-17.825952;-17.876052;-17.896877"
5,bigQM7w_000051_stereo_00001,CCCC,-158.541584515097,bigQM7w_000051_stereo_00001_C_rad_00002,C[CH]CC,-157.875254472420,-157.677105909024,bigQM7w_000051_stereo_00001_C_rad_00002_ROO_00001,CC[C@@H](C)O[O],-308.354833737394,-307.970951098573,bigQM7w_000051_stereo_00001_C_rad_00002_ROO_00001_QOOH_00002,C[CH][C@@H](C)OO,-308.324122049154,-307.932299490639,bigQM7w_000051_stereo_00001_C_rad_00002_ROO_00001_QOOH_00002_Nbridge_02,C[C@H]1OO[N][C@@H]1C,-308.293992192938,-307.905737840406,50,-39.711934,-17.224428,-39.711934,0.0,1,1,"-39.711934;-39.639733;-39.561480;-39.477389;-39.388911;-39.289703;-39.185080;-39.070073;-38.954317;-38.905154;-38.656787;-37.941094;-36.934340;-35.511201;-33.616324;-30.945357;-26.987488;-21.330385;-13.465967;-1.284180;0.000000;-1.089984;-4.808971;-7.674659;-9.854482;-11.489820;-12.835774;-13.898255;-14.730356;-14.941628;-15.084535;-15.256026;-15.425571;-15.583117;-15.735258;-15.877468;-16.014070;-16.143195;-16.265348;-16.380148;-16.491040;-16.594559;-16.692583;-16.784752;-16.871059;-16.952069;-17.028486;-17.099435;-17.165507;-17.224428"
6,bigQM7w_000121_stereo_00001,CCC(C)C,-197.879984167231,bigQM7w_000121_stereo_00001_C_rad_00004,[CH2]C(C)CC,-197.208868096353,-196.962131046865,bigQM7w_000121_stereo_00001_C_rad_00004_ROO_00001,CC[C@@H](C)CO[O],-347.685642315299,-347.254932562283,bigQM7w_000121_stereo_00001_C_rad_00004_ROO_00001_QOOH_00003,C[CH][C@@H](C)COO,-347.658881360169,-347.220169924396,bigQM7w_000121_stereo_00001_C_rad_00004_ROO_00001_QOOH_00003_Nbridge_01,C[C@@H]1[N]OOC[C@@H]1C,-347.642454761906,-347.209524571578,38,-7.606003,-27.913235,-27.913235,0.0,1,1,"-7.606003;-7.542857;-7.471493;-7.393444;-7.311150;-7.216754;-7.119261;-7.010484;-6.892092;-6.762375;-6.623606;-6.472265;-6.317390;-6.201870;-6.031574;-5.220299;-4.136523;-2.767161;-0.926792;0.000000;-1.283035;-7.354662;-12.338212;-16.248111;-19.102627;-21.364716;-23.165368;-24.590007;-25.711793;-26.574889;-27.198995;-27.282390;-27.393127;-27.509216;-27.625101;-27.726907;-27.825900;-27.913235"
6,bigQM7w_000121_stereo_00001,CCC(C)C,-197.879984167231,bigQM7w_000121_stereo_00001_C_rad_00004,[CH2]C(C)CC,-197.208868096353,-196.962131046865,bigQM7w_000121_stereo_00001_C_rad_00004_ROO_00001,CC[C@@H](C)CO[O],-347.685642315299,-347.254932562283,bigQM7w_000121_stereo_00001_C_rad_00004_ROO_00001_QOOH_00003,C[CH][C@@H](C)COO,-347.658881360169,-347.220169924396,bigQM7w_000121_stereo_00001_C_rad_00004_ROO_00001_QOOH_00003_Nbridge_02,C[C@H]1COO[N][C@@H]1C,-347.643470105477,-347.210476653443,37,-27.662214,-7.478722,-27.662214,0.0,1,1,"-27.662214;-27.583532;-27.497076;-27.401458;-27.291108;-27.175948;-27.046545;-26.900003;-26.755070;-26.666974;-26.366162;-25.512198;-24.396417;-22.975237;-21.181066;-18.920192;-16.072242;-12.194034;-7.266903;-1.294678;0.000000;-0.938519;-2.778733;-4.178404;-5.296992;-6.129536;-6.343633;-6.441958;-6.595286;-6.744023;-6.881069;-7.005683;-7.118693;-7.220608;-7.314908;-7.400208;-7.478722"
5,bigQM7w_000247_stereo_00001,CC1CCC1,-196.645994571911,bigQM7w_000247_stereo_00001_C_rad_00003,CC1[CH]CC1,-195.976496978760,-195.740957172103,bigQM7w_000247_stereo_00001_C_rad_00003_ROO_00001,C[C@H]1CC[C@@H]1O[O],-346.459486878289,-346.038269332427,bigQM7w_000247_stereo_00001_C_rad_00003_ROO_00001_QOOH_00002,C[C@H]1C[CH][C@@H]1OO,-346.427820794484,-345.998589835422,bigQM7w_000247_stereo_00001_C_rad_00003_ROO_00001_QOOH_00002_Nbridge_01,C[C@H]1C[C@@H]2[N]OO[C@@H]21,-346.389812932091,-345.964403647892,48,-43.627060,-18.102726,-43.62706,0.0,1,1,"-43.627060;-43.556571;-43.477817;-43.390461;-43.292061;-43.178230;-43.064114;-42.983571;-42.895620;-42.222049;-41.247343;-39.927433;-38.161190;-35.881845;-32.940604;-28.753998;-22.903846;-14.783357;-1.324068;0.000000;-1.095118;-4.981708;-7.859401;-10.009782;-11.598412;-12.907771;-13.982868;-14.853393;-15.061248;-15.408244;-15.771124;-16.094334;-16.395785;-16.665527;-16.897922;-16.975196;-17.079361;-17.190251;-17.297753;-17.403077;-17.503611;-17.600411;-17.689578;-17.779804;-17.867541;-17.949502;-18.026927;-18.102726"
5,bigQM7w_000247_stereo_00001,CC1CCC1,-196.645994571911,bigQM7w_000247_stereo_00001_C_rad_00003,CC1[CH]CC1,-195.976496978760,-195.740957172103,bigQM7w_000247_stereo_00001_C_rad_00003_ROO_00001,C[C@H]1CC[C@@H]1O[O],-346.459486878289,-346.038269332427,bigQM7w_000247_stereo_00001_C_rad_00003_ROO_00001_QOOH_00002,C[C@H]1C[CH][C@@H]1OO,-346.427820794484,-345.998589835422,bigQM7w_000247_stereo_00001_C_rad_00003_ROO_00001_QOOH_00002_Nbridge_02,C[C@H]1C[C@H]2[N]OO[C@H]12,-346.359456821782,-345.933683706409,50,-64.266598,-32.727584,-64.266598,0.0,1,1,"-64.266598;-64.191088;-64.108511;-64.020424;-63.924984;-63.821111;-63.709394;-63.591129;-63.461904;-63.327491;-63.179658;-63.032344;-62.949105;-62.776747;-62.024818;-61.070197;-59.897534;-58.459199;-56.730292;-54.655070;-52.199686;-49.318337;-45.946431;-41.923042;-37.252445;-31.886278;-25.757988;-18.810920;-11.124605;-1.263593;0.000000;-1.198405;-8.098855;-13.051952;-16.213795;-18.807455;-20.940832;-22.828158;-24.466485;-25.929070;-27.230449;-28.396661;-29.440769;-30.364286;-31.114825;-31.297746;-31.651971;-32.029467;-32.387667;-32.727584"
5,bigQM7w_000247_stereo_00001,CC1CCC1,-196.645994571911,bigQM7w_000247_stereo_00001_C_rad_00003,CC1[CH]CC1,-195.976496978760,-195.740957172103,bigQM7w_000247_stereo_00001_C_rad_00003_ROO_00001,C[C@H]1CC[C@@H]1O[O],-346.459486878289,-346.038269332427,bigQM7w_000247_stereo_00001_C_rad_00003_ROO_00001_QOOH_00003,C[C]1CC[C@@H]1OO,-346.432902127042,-346.004151342722,bigQM7w_000247_stereo_00001_C_rad_00003_ROO_00001_QOOH_00003_Nbridge_01,C[C@@]12CC[C@@H]1OO[N]2,-346.401443114112,-345.977013363843,50,-38.258173,-16.930168,-38.258173,0.0,1,1,"-38.258173;-38.177466;-38.091089;-37.998466;-37.900168;-37.793510;-37.681136;-37.562167;-37.437404;-37.304120;-37.164680;-37.017945;-36.863185;-36.699605;-36.534479;-36.436961;-36.188352;-35.350816;-34.279525;-32.852303;-30.921176;-28.424635;-24.905208;-19.708814;-12.520449;-1.294772;0.000000;-1.122887;-4.854799;-7.594384;-9.633414;-11.283084;-12.638051;-13.744119;-14.638912;-15.343144;-15.515046;-15.605765;-15.748060;-15.888924;-16.021160;-16.147812;-16.266747;-16.378701;-16.486439;-16.585567;-16.684561;-16.771944;-16.856058;-16.930168"
5,bigQM7w_000247_stereo_00001,CC1CCC1,-196.645994571911,bigQM7w_000247_stereo_00001_C_rad_00003,CC1[CH]CC1,-195.976496978760,-195.740957172103,bigQM7w_000247_stereo_00001_C_rad_00003_ROO_00001,C[C@H]1CC[C@@H]1O[O],-346.459486878289,-346.038269332427,bigQM7w_000247_stereo_00001_C_rad_00003_ROO_00001_QOOH_00003,C[C]1CC[C@@H]1OO,-346.432902127042,-346.004151342722,bigQM7w_000247_stereo_00001_C_rad_00003_ROO_00001_QOOH_00003_Nbridge_02,C[C@]12CC[C@@H]1OO[N]2,-346.359074049894,-345.933953372913,50,-63.332405,-32.165921,-63.332405,0.0,1,1,"-63.332405;-63.299810;-63.274283;-63.207087;-63.132566;-63.054098;-62.969929;-62.881584;-62.787846;-62.687869;-62.580855;-62.472069;-62.355638;-62.232306;-62.101295;-61.977245;-61.849147;-61.764239;-61.135868;-60.338329;-59.370559;-58.203266;-56.789511;-55.102875;-53.066237;-50.677278;-47.824396;-44.568843;-40.698735;-36.145468;-30.894867;-24.909421;-18.151937;-10.726393;-1.247459;0.000000;-1.194290;-8.206850;-13.693340;-17.269505;-20.039136;-22.314908;-24.290333;-25.987433;-27.477645;-28.786581;-29.941596;-30.960662;-31.843790;-32.165921"
5,bigQM7w_000247_stereo_00001,CC1CCC1,-196.645994571911,bigQM7w_000247_stereo_00001_C_rad_00004,CC1C[CH]C1,-195.977143486779,-195.741628109448,bigQM7w_000247_stereo_00001_C_rad_00004_ROO_00001,C[C@H]1C[C@H](O[O])C1,-346.457487229296,-346.035845137398,bigQM7w_000247_stereo_00001_C_rad_00004_ROO_00001_QOOH_00002,C[C@H]1[CH][C@H](OO)C1,-346.425823098479,-345.996168910539,bigQM7w_000247_stereo_00001_C_rad_00004_ROO_00001_QOOH_00002_Nbridge_01,C[C@@H]1C[C@H]2OO[N][C@@H]12,-346.390493797850,-345.965061888279,50,-43.870755,-17.582342,-43.870755,0.0,1,1,"-43.870755;-43.795245;-43.709967;-43.613196;-43.506874;-43.387046;-43.261709;-43.188472;-43.075202;-42.364079;-41.344409;-39.998106;-38.183985;-35.884042;-32.877910;-28.630888;-22.734290;-14.610865;-1.314534;0.000000;-1.096305;-4.970333;-7.800096;-9.850440;-11.338595;-12.535862;-13.486416;-13.756802;-14.147960;-14.551117;-14.921670;-15.262093;-15.579156;-15.864929;-16.116772;-16.215942;-16.326058;-16.446287;-16.563204;-16.674707;-16.781442;-16.885485;-16.983237;-17.080728;-17.173514;-17.261567;-17.346185;-17.427681;-17.505780;-17.582342"
5,bigQM7w_000247_stereo_00001,CC1CCC1,-196.645994571911,bigQM7w_000247_stereo_00001_C_rad_00004,CC1C[CH]C1,-195.977143486779,-195.741628109448,bigQM7w_000247_stereo_00001_C_rad_00004_ROO_00001,C[C@H]1C[C@H](O[O])C1,-346.457487229296,-346.035845137398,bigQM7w_000247_stereo_00001_C_rad_00004_ROO_00001_QOOH_00002,C[C@H]1[CH][C@H](OO)C1,-346.425823098479,-345.996168910539,bigQM7w_000247_stereo_00001_C_rad_00004_ROO_00001_QOOH_00002_Nbridge_02,C[C@@H]1C[C@H]2OO[N][C@H]12,-346.356673049296,-345.930919732441,50,-37.282546,-23.147959,-37.282546,-23.147959,1,1,"-37.282546;-37.211378;-37.137505;-37.062110;-36.982891;-36.904847;-36.821700;-36.741747;-36.656919;-36.571288;-36.480430;-36.391474;-36.303633;-36.210862;-36.116163;-36.019577;-35.920940;-35.820251;-35.717397;-35.612437;-35.505026;-35.395787;-35.283954;-35.169411;-35.052532;-34.932771;-34.810054;-34.686172;-34.557935;-34.428719;-34.297089;-34.161779;-34.034312;-33.937667;-33.676933;-33.402583;-33.106213;-32.792427;-32.462563;-32.114035;-31.750344;-31.401889;-31.244556;-30.522918;-29.635378;-28.622149;-27.487079;-26.213085;-24.773150;-23.147959"
